
"lakeid","year4","sampledate","depth","chlor","phaeo"
"SP",1983,"1983-06-21",8.00,2.9,0.2
"SP",1983,"1983-06-21",9.00,7.1,0.9
"SP",1983,"1983-06-21",10.00,9.4,1.8
"SP",1983,"1983-06-21",11.00,19.7,4.0
"SP",1983,"1983-06-21",12.00,8.9,32.8
"SP",1983,"1983-06-21",15.00,3.1,0.3
"SP",1983,"1983-06-21",18.00,1.2,1.4
"SP",1983,"1983-07-08",0.00,1.3,0.0
"SP",1983,"1983-07-08",3.00,1.3,0.2
"SP",1983,"1983-07-08",5.00,2.0,0.0
"SP",1983,"1983-07-08",8.00,3.8,0.1
"SP",1983,"1983-07-08",9.00,5.1,0.6
"SP",1983,"1983-07-08",10.00,6.9,-0.9
"SP",1983,"1983-07-08",11.00,6.3,1.4
"SP",1983,"1983-07-08",12.00,3.7,0.4
"SP",1983,"1983-07-08",15.00,3.3,-0.2
"SP",1983,"1983-07-08",18.00,6.3,
"SP",1983,"1983-07-21",0.00,1.2,-0.1
"SP",1983,"1983-07-21",3.00,0.3,1.4
"SP",1983,"1983-07-21",5.00,2.8,-0.4
"SP",1983,"1983-07-21",8.00,3.5,1.0
"SP",1983,"1983-07-21",10.00,5.6,0.2
"SP",1983,"1983-07-21",12.00,6.9,0.0
"SP",1983,"1983-07-21",15.00,2.4,0.5
"SP",1983,"1983-07-21",18.00,2.1,0.3
"SP",1983,"1983-08-01",0.00,0.7,0.5
"SP",1983,"1983-08-01",3.00,1.6,-0.2
"SP",1983,"1983-08-01",5.00,1.1,0.3
"SP",1983,"1983-08-01",8.00,3.5,0.1
"SP",1983,"1983-08-01",10.00,7.3,-1.6
"SP",1983,"1983-08-01",12.00,8.2,-0.6
"SP",1983,"1983-08-01",13.00,5.5,1.1
"SP",1983,"1983-08-01",15.00,5.1,-2.1
"SP",1983,"1983-08-01",18.00,3.5,5.3
"SP",1983,"1983-08-16",0.00,0.8,-0.1
"SP",1983,"1983-08-16",3.00,3.1,-2.7
"SP",1983,"1983-08-16",5.00,1.4,-0.3
"SP",1983,"1983-08-16",8.00,2.5,-0.1
"SP",1983,"1983-08-16",9.00,3.3,-0.5
"SP",1983,"1983-08-16",10.00,4.4,-0.3
"SP",1983,"1983-08-16",11.00,13.6,-9.2
"SP",1983,"1983-08-16",12.00,7.8,1.1
"SP",1983,"1983-08-16",13.00,8.6,-0.7
"SP",1983,"1983-08-16",15.00,4.3,-0.4
"SP",1983,"1983-08-16",18.00,4.6,2.4
"SP",1983,"1983-09-06",0.00,1.7,0.4
"SP",1983,"1983-09-06",3.00,1.2,0.8
"SP",1983,"1983-09-06",5.00,2.1,0.1
"SP",1983,"1983-09-06",8.00,2.5,0.0
"SP",1983,"1983-09-06",10.00,1.6,0.4
"SP",1983,"1983-09-06",12.00,3.4,0.4
"SP",1983,"1983-09-06",13.00,3.5,0.4
"SP",1983,"1983-09-06",18.00,5.4,18.6
"SP",1983,"1983-09-27",0.00,0.4,1.4
"SP",1983,"1983-09-27",3.00,1.4,0.2
"SP",1983,"1983-09-27",5.00,0.7,2.1
"SP",1983,"1983-09-27",8.00,2.4,0.3
"SP",1983,"1983-09-27",10.00,0.9,3.7
"SP",1983,"1983-09-27",12.00,3.1,0.6
"SP",1983,"1983-09-27",15.00,3.4,1.3
"SP",1983,"1983-09-27",18.00,4.6,21.6
"SP",1983,"1983-10-17",0.00,2.5,0.0
"SP",1983,"1983-10-17",3.00,2.1,0.6
"SP",1983,"1983-10-17",5.00,3.0,-0.3
"SP",1983,"1983-10-17",8.00,0.4,2.6
"SP",1983,"1983-10-17",10.00,2.5,0.0
"SP",1983,"1983-10-17",12.00,1.8,0.2
"SP",1983,"1983-10-17",15.00,3.8,4.1
"SP",1983,"1983-10-17",18.00,0.3,17.2
"SP",1983,"1983-11-02",0.00,2.4,-0.3
"SP",1983,"1983-11-02",3.00,1.7,0.8
"SP",1983,"1983-11-02",5.00,3.4,-8.6
"SP",1983,"1983-11-02",8.00,1.6,0.6
"SP",1983,"1983-11-02",10.00,2.1,0.2
"SP",1983,"1983-11-02",12.00,1.2,1.1
"SP",1983,"1983-11-02",15.00,7.7,11.5
"SP",1983,"1983-11-02",18.00,1.6,13.1
"SP",1983,"1983-11-15",0.00,3.1,0.1
"SP",1983,"1983-11-15",3.00,3.1,0.1
"SP",1983,"1983-11-15",5.00,2.9,0.4
"SP",1983,"1983-11-15",8.00,2.9,0.3
"SP",1983,"1983-11-15",10.00,3.0,-0.1
"SP",1983,"1983-11-15",12.00,2.9,0.3
"SP",1983,"1983-11-15",15.00,3.3,0.1
"SP",1983,"1983-11-15",18.00,3.3,-0.1
"SP",1983,"1983-11-29",0.00,4.4,0.4
"SP",1983,"1983-11-29",3.00,5.5,-0.3
"SP",1983,"1983-11-29",5.00,4.3,-0.2
"SP",1983,"1983-11-29",8.00,4.2,-0.3
"SP",1983,"1983-11-29",10.00,4.8,-0.3
"SP",1983,"1983-11-29",12.00,6.1,-1.2
"SP",1983,"1983-11-29",15.00,3.8,0.5
"SP",1983,"1983-11-29",18.00,5.8,-0.3
"SP",1984,"1984-01-06",0.00,5.4,-0.5
"SP",1984,"1984-01-06",3.00,4.3,-0.4
"SP",1984,"1984-01-06",5.00,2.6,0.2
"SP",1984,"1984-01-06",8.00,1.6,0.3
"SP",1984,"1984-01-06",10.00,1.2,0.0
"SP",1984,"1984-01-06",12.00,0.8,0.4
"SP",1984,"1984-01-06",15.00,1.1,0.7
"SP",1984,"1984-01-06",18.00,2.8,0.8
"SP",1984,"1984-02-27",0.00,1.3,-0.3
"SP",1984,"1984-02-27",3.00,5.9,-0.5
"SP",1984,"1984-02-27",5.00,5.4,-0.1
"SP",1984,"1984-02-27",8.00,2.5,-0.1
"SP",1984,"1984-02-27",10.00,1.4,0.0
"SP",1984,"1984-02-27",12.00,0.9,0.1
"SP",1984,"1984-02-27",15.00,1.3,0.3
"SP",1984,"1984-02-27",18.00,1.7,1.2
"SP",1984,"1984-04-10",0.00,2.9,-0.5
"SP",1984,"1984-04-10",3.00,8.5,-1.6
"SP",1984,"1984-04-10",5.00,9.7,0.8
"SP",1984,"1984-04-10",8.00,11.1,-1.4
"SP",1984,"1984-04-10",10.00,10.3,-0.1
"SP",1984,"1984-04-10",12.00,9.7,-1.2
"SP",1984,"1984-04-10",12.00,8.5,-0.5
"SP",1984,"1984-04-10",15.00,1.7,0.7
"SP",1984,"1984-04-10",18.00,2.6,-0.3
"SP",1984,"1984-04-26",0.00,5.5,1.2
"SP",1984,"1984-04-26",3.00,6.9,-0.7
"SP",1984,"1984-04-26",5.00,6.7,0.3
"SP",1984,"1984-04-26",8.00,8.6,-1.0
"SP",1984,"1984-04-26",10.00,10.3,-1.2
"SP",1984,"1984-04-26",12.00,6.5,2.7
"SP",1984,"1984-04-26",12.00,10.2,0.7
"SP",1984,"1984-04-26",15.00,8.4,-0.3
"SP",1984,"1984-04-26",18.00,7.2,-0.5
"SP",1984,"1984-05-09",0.00,7.3,1.1
"SP",1984,"1984-05-09",3.00,10.1,-0.7
"SP",1984,"1984-05-09",3.00,10.4,-1.0
"SP",1984,"1984-05-09",5.00,10.7,-0.9
"SP",1984,"1984-05-09",8.00,10.1,-0.8
"SP",1984,"1984-05-09",10.00,9.7,-0.8
"SP",1984,"1984-05-09",12.00,12.1,-1.3
"SP",1984,"1984-05-09",15.00,11.1,-1.8
"SP",1984,"1984-05-09",18.00,6.3,0.2
"SP",1984,"1984-05-21",0.00,4.4,-0.4
"SP",1984,"1984-05-21",3.00,4.8,-0.7
"SP",1984,"1984-05-21",5.00,5.0,0.1
"SP",1984,"1984-05-21",8.00,8.5,-0.5
"SP",1984,"1984-05-21",8.00,10.1,-2.7
"SP",1984,"1984-05-21",10.00,12.8,-1.3
"SP",1984,"1984-05-21",12.00,6.3,1.1
"SP",1984,"1984-05-21",15.00,5.5,0.7
"SP",1984,"1984-05-21",18.00,4.4,1.1
"SP",1984,"1984-06-04",0.00,3.0,-0.3
"SP",1984,"1984-06-04",3.00,3.0,0.0
"SP",1984,"1984-06-04",5.00,4.3,-0.7
"SP",1984,"1984-06-04",8.00,5.0,0.4
"SP",1984,"1984-06-04",9.00,6.0,0.4
"SP",1984,"1984-06-04",10.00,10.2,0.7
"SP",1984,"1984-06-04",10.00,9.7,1.1
"SP",1984,"1984-06-04",12.00,11.1,0.5
"SP",1984,"1984-06-04",15.00,4.6,1.2
"SP",1984,"1984-06-04",18.00,3.3,0.7
"SP",1984,"1984-06-20",0.00,1.7,0.2
"SP",1984,"1984-06-20",0.00,2.1,-0.6
"SP",1984,"1984-06-20",3.00,2.4,-0.4
"SP",1984,"1984-06-20",5.00,2.4,0.0
"SP",1984,"1984-06-20",8.00,3.4,0.5
"SP",1984,"1984-06-20",10.00,3.1,5.1
"SP",1984,"1984-06-20",11.00,9.0,0.2
"SP",1984,"1984-06-20",12.00,9.5,-0.4
"SP",1984,"1984-06-20",13.00,10.2,0.2
"SP",1984,"1984-06-20",15.00,6.5,2.3
"SP",1984,"1984-06-20",18.00,3.1,1.8
"SP",1984,"1984-07-05",0.00,1.3,0.0
"SP",1984,"1984-07-05",3.00,1.2,0.1
"SP",1984,"1984-07-05",5.00,1.6,-0.2
"SP",1984,"1984-07-05",8.00,2.1,0.1
"SP",1984,"1984-07-05",10.00,3.0,0.0
"SP",1984,"1984-07-05",11.00,2.8,0.1
"SP",1984,"1984-07-05",12.00,3.4,-0.2
"SP",1984,"1984-07-05",13.00,1.6,0.6
"SP",1984,"1984-07-05",15.00,3.5,1.5
"SP",1984,"1984-07-05",18.00,4.2,1.3
"SP",1984,"1984-07-16",0.00,1.2,0.0
"SP",1984,"1984-07-16",3.00,1.3,-0.1
"SP",1984,"1984-07-16",5.00,1.6,-0.1
"SP",1984,"1984-07-16",8.00,2.4,-0.2
"SP",1984,"1984-07-16",10.00,2.9,-0.1
"SP",1984,"1984-07-16",11.00,3.9,-1.5
"SP",1984,"1984-07-16",12.00,3.5,-0.4
"SP",1984,"1984-07-16",13.00,3.0,0.0
"SP",1984,"1984-07-16",15.00,3.0,-0.2
"SP",1984,"1984-07-16",18.00,6.9,-0.5
"SP",1984,"1984-07-16",18.00,6.7,1.0
"SP",1984,"1984-07-31",0.00,0.7,0.1
"SP",1984,"1984-07-31",3.00,1.2,-0.1
"SP",1984,"1984-07-31",5.00,1.2,0.0
"SP",1984,"1984-07-31",8.00,5.0,-0.3
"SP",1984,"1984-07-31",10.00,3.7,-0.3
"SP",1984,"1984-07-31",11.00,4.6,-0.5
"SP",1984,"1984-07-31",11.00,4.7,-0.8
"SP",1984,"1984-07-31",12.00,4.4,-0.5
"SP",1984,"1984-07-31",13.00,4.7,-0.8
"SP",1984,"1984-07-31",15.00,6.8,0.5
"SP",1984,"1984-07-31",17.00,5.9,-0.4
"SP",1984,"1984-07-31",18.00,4.6,0.9
"SP",1984,"1984-08-16",0.00,1.8,-0.3
"SP",1984,"1984-08-16",3.00,0.9,0.4
"SP",1984,"1984-08-16",5.00,1.1,0.1
"SP",1984,"1984-08-16",8.00,5.9,0.3
"SP",1984,"1984-08-16",10.00,8.5,0.3
"SP",1984,"1984-08-16",12.00,7.7,0.5
"SP",1984,"1984-08-16",14.00,4.8,0.5
"SP",1984,"1984-08-16",15.00,4.3,1.0
"SP",1984,"1984-08-16",15.00,3.9,1.5
"SP",1984,"1984-08-16",17.00,5.2,2.0
"SP",1984,"1984-08-16",18.00,5.8,10.2
"SP",1984,"1984-09-05",0.00,1.3,0.3
"SP",1984,"1984-09-05",3.00,1.6,0.3
"SP",1984,"1984-09-05",5.00,1.3,0.6
"SP",1984,"1984-09-05",8.00,1.6,0.5
"SP",1984,"1984-09-05",10.00,3.8,0.8
"SP",1984,"1984-09-05",12.00,6.5,0.7
"SP",1984,"1984-09-05",14.00,4.4,0.9
"SP",1984,"1984-09-05",14.00,4.7,0.9
"SP",1984,"1984-09-05",15.00,5.9,1.5
"SP",1984,"1984-09-05",16.00,8.6,2.3
"SP",1984,"1984-09-05",17.00,10.6,19.3
"SP",1984,"1984-09-05",18.00,6.5,12.4
"SP",1984,"1984-09-25",0.00,2.4,-0.3
"SP",1984,"1984-09-25",3.00,2.1,-0.1
"SP",1984,"1984-09-25",5.00,2.1,0.0
"SP",1984,"1984-09-25",8.00,2.0,0.0
"SP",1984,"1984-09-25",10.00,2.9,-0.2
"SP",1984,"1984-09-25",12.00,1.8,0.7
