"sampledate","division","genus","taxa_name","biovolume_conc"
2010-02-22,"Chlorophyta","Chlamydomonas","Chlamydomonas ",1522.6585
2010-02-22,"Cryptophyta","Cryptomonas","Cryptomonas erosa",25377.6325
2010-02-22,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima",55.5137
2010-02-22,"Cyanophyta","Synechococcus","Synechococcus ",43.6164
2010-02-22,"Cyanophyta","Synechococcus","Synechococcus elongatus",0
2010-02-22,"Euglenophyta","Euglena","Euglena ",91473.6948
2010-02-22,"Euglenophyta","Euglena","Euglena acus",0
2010-02-22,"Miscellaneous","Miscellaneous","Miscellaneous",1189.5763
2010-02-22,"NA","Rhodospirillum","Rhodospirillum rubrum",1345.3878
2010-02-22,"Total","Total","Total",121008.08
2010-04-13,"Bacillariophyta","Asterionella","Asterionella formosa",1281.7498
2010-04-13,"Chlorophyta","Chlamydomonas","Chlamydomonas ",184764.1653
2010-04-13,"Chlorophyta","NA","Chlorococcaceae",25980.3572
2010-04-13,"Chlorophyta","NA","Chlorophyta",5995.466
2010-04-13,"Chrysophyta","NA","Chrysophyceae",9507.5239
2010-04-13,"Chrysophyta","NA","Chrysocapsaceae",0
2010-04-13,"Cryptophyta","Rhodomonas","Rhodomonas minuta",4567.9709
2010-04-13,"Cyanophyta","Synechococcus","Synechococcus ",35.6874
2010-04-13,"Cyanophyta","Synechococcus","Synechococcus elongatus",0
2010-04-13,"Cyanophyta","Synechocystis","Synechocystis ",80.2943
2010-04-13,"Euglenophyta","Euglena","Euglena ",103122.0071
2010-04-13,"Euglenophyta","Euglena","Euglena acus",0
2010-04-13,"Miscellaneous","Miscellaneous","Miscellaneous",4567.9754
2010-04-13,"NA","Rhodospirillum","Rhodospirillum rubrum",52961.9967
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium ",13652.8602
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium inconspicuum",0
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium umbonatum",0
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium cinctum",0
2010-04-13,"Total","Total","Total",406518.0542
2010-06-10,"Bacillariophyta","Asterionella","Asterionella formosa",178118.8246
2010-06-10,"Chlorophyta","Chlamydomonas","Chlamydomonas ",46426.7807
2010-06-10,"Chlorophyta","NA","Chlorococcaceae",126.8885
2010-06-10,"Chlorophyta","NA","Chlorophyta",17700.9126
2010-06-10,"Chlorophyta","Coelastrum","Coelastrum ",7687.5653
2010-06-10,"Chlorophyta","Monomastix","Monomastix minuta",356.8738
2010-06-10,"Chlorophyta","Monomastix","Monomastix astigmata",0
2010-06-10,"Chlorophyta","Oocystis","Oocystis parva",5709.9685
2010-06-10,"Chlorophyta","Oocystis","Oocystis pusilla",0
2010-06-10,"Chlorophyta","Schroederia","Schroederia judayi",2017.5228
2010-06-10,"Chrysophyta","NA","Chrysophyceae",60205.5986
2010-06-10,"Chrysophyta","NA","Chrysocapsaceae",0
2010-06-10,"Cryptophyta","Cryptomonas","Cryptomonas erosa",544414.9075
2010-06-10,"Cryptophyta","Rhodomonas","Rhodomonas minuta",1015.1046
2010-06-10,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima",253.7769
2010-06-10,"Cyanophyta","Synechococcus","Synechococcus ",285.499
2010-06-10,"Cyanophyta","Synechococcus","Synechococcus elongatus",0
2010-06-10,"Euglenophyta","Euglena","Euglena ",126451.9759
2010-06-10,"Euglenophyta","Euglena","Euglena acus",0
2010-06-10,"Miscellaneous","Miscellaneous","Miscellaneous",31989.7774
2010-06-10,"NA","Rhodospirillum","Rhodospirillum rubrum",6959.0389
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2",5075.5262
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3",2283.9862
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",0
2010-06-10,"Total","Total","Total",1037080.528
2010-07-07,"Bacillariophyta","Asterionella","Asterionella formosa",5758.4179
2010-07-07,"Bacillariophyta","Lindavia","Lindavia intermedia",7881.953
2010-07-07,"Chlorophyta","Chlamydomonas","Chlamydomonas ",99162.2636
2010-07-07,"Chlorophyta","NA","Chlorococcaceae",6284.9288
2010-07-07,"Chlorophyta","NA","Chlorophyta",2438.792
2010-07-07,"Chlorophyta","Monomastix","Monomastix minuta",126.8885
2010-07-07,"Chlorophyta","Monomastix","Monomastix astigmata",0
2010-07-07,"Chlorophyta","Schroederia","Schroederia judayi",1015.1077
2010-07-07,"Chlorophyta","Sphaerocystis","Sphaerocystis schroeteri",27407.8403
2010-07-07,"Chrysophyta","NA","Chrysophyceae",27804.7666
2010-07-07,"Chrysophyta","NA","Chrysocapsaceae",0
2010-07-07,"Chrysophyta","Dinobryon","Dinobryon cylindricum",2030.2093
2010-07-07,"Chrysophyta","Dinobryon","Dinobryon cyst",0
2010-07-07,"Chrysophyta","Dinobryon","Dinobryon ",0
2010-07-07,"Chrysophyta","Dinobryon","Dinobryon sociale",0
2010-07-07,"Chrysophyta","Dinobryon","Dinobryon crenulatum",0
2010-07-07,"Cryptophyta","Cryptomonas","Cryptomonas erosa",831548.8353
2010-07-07,"Cyanophyta","Synechococcus","Synechococcus ",317.2211
2010-07-07,"Cyanophyta","Synechococcus","Synechococcus elongatus",0
2010-07-07,"Cyanophyta","Synechocystis","Synechocystis ",160.5887
2010-07-07,"Euglenophyta","Euglena","Euglena ",44709.0336
2010-07-07,"Euglenophyta","Euglena","Euglena acus",0
2010-07-07,"NA","Rhodospirillum","Rhodospirillum rubrum",3580.6337
2010-07-07,"Total","Total","Total",1060227.48
2010-08-03,"Chlorophyta","Chlamydomonas","Chlamydomonas ",71239.4509
2010-08-03,"Chlorophyta","NA","Chlorococcaceae",1982.6261
2010-08-03,"Chlorophyta","NA","Chlorophyta",60.9315
2010-08-03,"Chlorophyta","Monomastix","Monomastix minuta",356.8738
2010-08-03,"Chlorophyta","Monomastix","Monomastix astigmata",0
2010-08-03,"Chlorophyta","Monoraphidium","Monoraphidium griffithii",1141.9931
2010-08-03,"Chlorophyta","Monoraphidium","Monoraphidium arcuatum",0
2010-08-03,"Chlorophyta","Oocystis","Oocystis parva",1586.1027
2010-08-03,"Chlorophyta","Oocystis","Oocystis pusilla",0
2010-08-03,"Chlorophyta","Schroederia","Schroederia judayi",1268.8846
2010-08-03,"Chlorophyta","Sphaerocystis","Sphaerocystis schroeteri",6851.9601
2010-08-03,"Chrysophyta","NA","Chrysophyceae",8580.9834
2010-08-03,"Chrysophyta","NA","Chrysocapsaceae",0
2010-08-03,"Chrysophyta","Dinobryon","Dinobryon cylindricum",14100.4466
2010-08-03,"Chrysophyta","Dinobryon","Dinobryon cyst",0
2010-08-03,"Chrysophyta","Dinobryon","Dinobryon ",0
2010-08-03,"Chrysophyta","Dinobryon","Dinobryon sociale",0
2010-08-03,"Chrysophyta","Dinobryon","Dinobryon crenulatum",0
2010-08-03,"Chrysophyta","Kephyrion","Kephyrion ",285.499
2010-08-03,"Chrysophyta","Kephyrion","Kephyrion planctonicum",0
2010-08-03,"Cryptophyta","Cryptomonas","Cryptomonas erosa",543436.608
2010-08-03,"Cryptophyta","Rhodomonas","Rhodomonas minuta",507.5523
2010-08-03,"Cyanophyta","Synechococcus","Synechococcus ",47.5832
2010-08-03,"Cyanophyta","Synechococcus","Synechococcus elongatus",0
2010-08-03,"Cyanophyta","Synechocystis","Synechocystis ",80.2943
2010-08-03,"Euglenophyta","Euglena","Euglena ",69703.9061
2010-08-03,"Euglenophyta","Euglena","Euglena acus",0
2010-08-03,"Haptophyta","Chrysochromulina","Chrysochromulina parva",1832.2672
2010-08-03,"NA","Rhodospirillum","Rhodospirillum rubrum",2569.564
2010-08-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2",2537.7631
2010-08-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3",0
2010-08-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",0
2010-08-03,"Total","Total","Total",728171.29
2010-11-15,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",3370.562
2010-11-15,"Bacillariophyta","Tabellaria","Tabellaria binalis",0
2010-11-15,"Chlorophyta","Chlamydomonas","Chlamydomonas ",178939.7615
2010-11-15,"Chlorophyta","NA","Chlorococcaceae",114.1996
2010-11-15,"Chlorophyta","NA","Chlorophyta",2357.548
2010-11-15,"Chrysophyta","NA","Chrysophyceae",79916.4867
2010-11-15,"Chrysophyta","NA","Chrysocapsaceae",0
2010-11-15,"Chrysophyta","Kephyrion","Kephyrion ",0
2010-11-15,"Chrysophyta","Kephyrion","Kephyrion planctonicum",513.8983
2010-11-15,"Cyanophyta","Aphanizomenon","Aphanizomenon ",1213.3152
2010-11-15,"Cyanophyta","Aphanizomenon","Aphanizomenon flos-aquae",0
2010-11-15,"Cyanophyta","Aphanothece","Aphanothece saxicola",456.7984
2010-11-15,"Cyanophyta","Aphanothece","Aphanothece nidulans",0
2010-11-15,"Cyanophyta","Aphanothece","Aphanothece ",0
2010-11-15,"Cyanophyta","Synechocystis","Synechocystis ",96.3532
2010-11-15,"Haptophyta","Chrysochromulina","Chrysochromulina parva",29682.7278
2010-11-15,"NA","Rhodospirillum","Rhodospirillum rubrum",6958.6844
2010-11-15,"Total","Total","Total",303620.3351
2011-02-15,"Bacillariophyta","Asterionella","Asterionella formosa",2044.7314
2011-02-15,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",0
2011-02-15,"Bacillariophyta","Tabellaria","Tabellaria binalis",9693.5415
2011-02-15,"Chlorophyta","Chlamydomonas","Chlamydomonas ",12716.7412
2011-02-15,"Chlorophyta","NA","Chlorococcaceae",1110.271
2011-02-15,"Chlorophyta","NA","Chlorophyta",63.4442
2011-02-15,"Chlorophyta","Oedogonium","Oedogonium ",50738.6366
2011-02-15,"Chlorophyta","Schroederia","Schroederia judayi",523.4126
2011-02-15,"Chrysophyta","NA","Chrysophyceae",27756.2587
2011-02-15,"Chrysophyta","NA","Chrysocapsaceae",0
2011-02-15,"Cryptophyta","Cryptomonas","Cryptomonas erosa",6851.9608
2011-02-15,"Cyanophyta","Phormidium","Phormidium ",13615.327
2011-02-15,"Euglenophyta","Euglena","Euglena ",26346.3407
2011-02-15,"Euglenophyta","Euglena","Euglena acus",0
2011-02-15,"Haptophyta","Chrysochromulina","Chrysochromulina parva",229.0334
2011-02-15,"Miscellaneous","Miscellaneous","Miscellaneous",3172.2054
2011-02-15,"NA","Rhodospirillum","Rhodospirillum rubrum",1320.433
2011-02-15,"Total","Total","Total",156182.3375
2011-05-03,"Bacillariophyta","Actinella","Actinella punctata",422.8073
2011-05-03,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",2211.9313
2011-05-03,"Bacillariophyta","Tabellaria","Tabellaria binalis",0
2011-05-03,"Chlorophyta","Chlamydomonas","Chlamydomonas ",317705.2239
2011-05-03,"Chlorophyta","NA","Chlorococcaceae",15188.5102
2011-05-03,"Chlorophyta","NA","Chlorophyta",824.5202
2011-05-03,"Chlorophyta","Gloeococcus","Gloeococcus minor",63837.4305
2011-05-03,"Chlorophyta","Schroederia","Schroederia judayi",1811.523
2011-05-03,"Chrysophyta","NA","Chrysophyceae",18500.8715
2011-05-03,"Chrysophyta","NA","Chrysocapsaceae",0
2011-05-03,"Chrysophyta","Mallomonas","Mallomonas ",98668.2359
2011-05-03,"Chrysophyta","Mallomonas","Mallomonas akrokomas",0
2011-05-03,"Cryptophyta","Cryptomonas","Cryptomonas erosa",882.411
2011-05-03,"Cyanophyta","Aphanothece","Aphanothece saxicola",0
2011-05-03,"Cyanophyta","Aphanothece","Aphanothece nidulans",1941.388
2011-05-03,"Cyanophyta","Aphanothece","Aphanothece ",0
2011-05-03,"Cyanophyta","Phormidium","Phormidium ",3695.0963
2011-05-03,"Cyanophyta","Planktothrix","Planktothrix agardhii",1709.6714
2011-05-03,"NA","Rhodospirillum","Rhodospirillum rubrum",12633.3321
2011-05-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2",5781.3417
2011-05-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3",2797.885
2011-05-03,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",0
2011-05-03,"Total","Total","Total",548612.1793
2011-06-01,"Bacillariophyta","Asterionella","Asterionella formosa",27917.3994
2011-06-01,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",0
2011-06-01,"Bacillariophyta","Tabellaria","Tabellaria binalis",6319.8038
2011-06-01,"Chlorophyta","Chlamydomonas","Chlamydomonas ",265010.7344
2011-06-01,"Chlorophyta","NA","Chlorococcaceae",133342.0113
2011-06-01,"Chlorophyta","NA","Chlorophyta",0
2011-06-01,"Chlorophyta","Monomastix","Monomastix minuta",385.4237
2011-06-01,"Chlorophyta","Monomastix","Monomastix astigmata",0
2011-06-01,"Chlorophyta","Scenedesmus","Scenedesmus bijuga",6166.7654
2011-06-01,"Chrysophyta","NA","Chrysophyceae",2789.0163
2011-06-01,"Chrysophyta","NA","Chrysocapsaceae",0
2011-06-01,"Chrysophyta","Mallomonas","Mallomonas ",40981.5755
